Date,aet,ppt,ro,srad,soilm,tavg,vap,ws,wa
1995_01_2015_11,43.90935,18.045,1.0,186.23675,56.5502,20.2029,1.1132,1.3247,26.7363
1995_01_2015_12,35.82735,19.045,1.0,185.85285,44.5592,17.6428,0.97205,1.4708,27.06525
1995_01_2017_02,27.5756,18.545,1.0,206.53875,36.18555,18.7684,0.90495,1.7134,29.82465
1995_01_2017_03,27.707,20.1945,1.0,221.1372,33.49545,21.06915,0.87985,1.70535,28.69335
1995_01_2018_09,75.29555,148.57605,79.2304,179.5722,114.60995,20.58825,1.61555,1.8893,26.7444
1995_01_2018_10,61.0456,19.52855,1.0,202.6138,77.812,20.98895,1.27195,1.4012,26.6463
1995_01_2020_04,27.66845,19.8501,1.0,227.5861,34.2343,23.54995,0.9389,1.7413,29.9808
1995_01_2020_05,25.53535,18.545,1.0,240.76145,32.1067,25.4742,1.11495,2.0623,27.5661
1995_01_2020_10,64.9659,19.7246,1.0,201.71675,74.1468,21.57635,1.3002,1.55925,29.6037
1995_01_2020_11,46.18555,18.545,1.0,193.8716,51.3675,19.06005,1.0476,1.53945,29.47725
1995_01_2020_12,49.02995,39.5672,2.0,175.944,45.65755,17.219,0.97565,1.411,30.15945
1995_01_2021_01,33.8694,22.9577,1.4796,186.0328,39.34265,17.29115,1.07975,1.70505,30.02265
1995_01_2021_02,26.9444,18.47395,1.0,204.89635,35.5853,18.8683,1.0103,1.5862,29.7387
1995_01_2021_03,29.84645,22.7268,1.2491,220.9623,33.06515,21.53175,1.04035,1.64415,29.17845
1995_01_2021_04,25.62435,18.9762,1.0,234.0246,31.2492,23.41375,0.9787,1.6413,26.9334
1995_01_2021_10,76.3428,62.6337,3.2032,204.78395,103.52595,20.81455,1.50815,1.37585,29.0997
1995_01_2021_11,53.36385,18.045,1.0,193.16355,73.1665,18.85815,1.12975,1.59615,28.49805
1995_01_2021_12,43.2993,21.77695,1.0,181.94855,56.37115,17.14715,1.06695,1.54775,28.80675
1995_02_1996_01,24.42925,13.34035,0.5,194.21015,37.73835,19.9101,0.98985,1.6605,24.0993
1995_02_1997_02,8.5088,0.79105,0.0,228.5732,32.7452,20.4074,0.9038,1.8191,27.0207
1995_02_1997_03,7.06425,0.79105,0.0,240.4386,29.98955,23.6297,0.92985,1.8096,25.308
1995_02_1997_10,45.7312,19.00595,1.0,217.26665,86.9052,22.76175,1.26515,1.2724,24.3576
1995_02_1997_11,38.2988,28.45575,1.5,194.59535,79.2061,21.72005,1.04315,1.2935,24.9309
1995_02_1998_02,21.2514,2.10485,0.0,222.4152,43.2353,20.74165,0.92965,1.73065,26.0496
1995_02_1998_03,20.0886,10.1711,0.5,238.0274,36.38415,22.87815,0.87045,1.73695,25.0857
1995_02_1998_09,59.03455,197.95975,142.4446,205.4167,111.0149,23.55135,1.7458,1.62415,26.73945
1995_02_1998_10,46.2803,12.89845,0.5,213.2404,80.55035,23.5268,1.3534,1.4698,26.96355
1995_02_1998_11,35.54425,16.77535,1.0,207.6582,64.4972,21.39545,1.0556,1.4748,26.4177
1995_02_1998_12,21.4737,0.79105,0.0,205.60325,47.34765,19.6368,0.98225,1.4735,26.60445
1995_02_1999_01,13.7372,1.29105,0.0,210.36235,38.46465,18.9891,0.9399,1.71135,26.21655
1995_02_1999_10,54.6165,37.32285,1.9169,219.52895,95.36905,23.0133,1.3011,1.42095,27.03105
1995_02_2000_02,9.8333,1.29105,0.0,223.9342,33.94515,20.3441,0.8893,1.79355,25.95645
1995_02_2002_09,66.53285,94.05295,31.04915,220.5214,111.0149,23.4276,1.69685,1.76355,26.07525
1995_02_2002_10,47.8373,5.6674,0.17975,229.24325,72.1243,23.6324,1.3631,1.5008,25.63875
1995_02_2002_12,17.2103,1.79105,0.0,199.9395,40.859,20.88155,1.0581,1.38605,25.52805
1995_02_2003_01,10.5609,1.29105,0.0,203.1725,35.08345,19.58245,0.9696,1.639,24.9597
1995_02_2003_09,52.6855,206.8006,157.674,186.69775,111.0149,22.8198,1.64435,1.9266,25.74495
1995_02_2003_10,45.96035,1.29105,0.0,225.9301,69.82315,22.9022,1.2704,1.6295,27.34065
1995_02_2004_02,7.62475,0.79105,0.0,226.0971,31.15945,21.1436,0.9434,1.65715,27.1224
1995_02_2004_04,6.62505,1.56295,0.0,252.8453,27.2178,26.59455,0.99395,2.0571,24.25365
